fighter,victoria_%,binning,Height,Weight,SLpM,Str_Acc_%,SApM,Str_Def_%,TD_Avg,TD_Acc_%,TD_Def_%,Sub_Avg,Stance_Orthodox,Stance_Southpaw
Keiichiro Yamamiya,0,0,180,185,0.0,0,0.0,0,0.0,0,0,0.0,0,1
Jason DeLucia,50,0,180,190,0.0,0,0.0,0,0.0,0,0,0.0,0,1
Masutatsu Yano,0,0,175,198,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Katsuhisa Fujii,0,0,182,205,4.0,50,4.43,64,2.14,25,50,2.1,1,0
David Velasquez,0,0,165,145,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Steve Judson,0,0,180,230,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Jermaine Andre,0,0,170,200,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Bob Cook,0,0,175,170,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Scott Adams,0,0,182,225,0.0,0,0.0,0,0.0,0,0,0.0,0,1
Ikuhisa Minowa,0,0,175,181,0.88,40,1.66,49,1.82,41,5,1.9,1,0
Joe Slick,100,1,182,199,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Satoshi Honma,0,0,185,205,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Ron Waterman,33,0,187,280,0.84,50,1.37,42,4.19,69,50,2.8,1,0
Sanae Kikuta,0,0,175,200,0.7,45,0.9,52,1.6,63,25,1.8,1,0
David Dodd,0,0,187,200,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Alex Andrade,0,0,180,200,0.2,36,2.6,53,0.0,0,25,0.8,1,0
Joao Roque,0,0,167,155,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Amaury Bitetti,0,0,175,185,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Marcelo Aguiar,0,0,177,170,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Adrian Serrano,0,0,172,170,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Tyrone Roberts,0,0,175,185,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Nate Schroeder,0,0,185,230,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Tedd Williams,100,1,185,275,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Dan Severn,75,1,187,250,0.0,0,0.0,0,0.0,0,0,0.0,0,1
CJ Fernandes,0,0,187,170,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Laverne Clark,100,1,180,170,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Tim Lajcik,0,0,185,225,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Brad Gumm,0,0,180,170,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Mark Hughes,0,0,175,205,0.9,47,0.4,42,3.0,50,0,4.5,0,1
John Lewis,100,1,182,155,0.0,0,4.0,66,0.0,0,0,0.0,0,1
Maurice Smith,67,1,187,221,0.41,46,0.47,60,0.89,50,20,0.9,1,0
Alex Stiebling,0,0,187,205,1.77,42,1.45,52,0.35,66,66,0.7,0,1
Aaron Brink,0,0,190,205,3.49,42,5.71,57,0.0,0,0,0.0,1,0
Ben Earwood,0,0,172,170,0.5,55,0.2,33,3.0,100,0,0.0,1,0
Daiju Takase,0,0,182,170,0.49,30,1.64,47,0.84,17,21,1.2,0,1
Lance Gibson,100,1,175,185,1.21,75,6.44,20,0.0,0,0,0.0,1,0
Yoji Anjo,0,0,180,205,0.0,0,3.13,25,0.0,0,0,0.0,1,0
Kenichi Yamamoto,100,1,182,170,0.3,46,1.93,38,0.0,0,10,0.3,1,0
Phil Johns,0,0,157,170,1.2,66,1.8,50,0.0,0,50,0.0,0,1
Mark Robinson,0,0,182,265,0.0,0,5.8,13,0.0,0,0,0.0,1,0
Joey Gilbert,0,0,180,155,0.61,42,4.44,31,0.0,0,0,0.0,1,0
Semmy Schilt,100,1,208,265,1.2,50,1.31,53,0.0,0,47,1.1,1,0
Yuki Kondo,50,0,180,183,1.14,42,2.57,51,0.76,41,37,0.5,0,1
Paul Rodriguez,0,0,170,155,0.84,100,1.68,68,0.0,0,50,0.0,1,0
Fabiano Iha,50,0,172,155,1.73,47,2.49,42,2.88,40,50,2.9,1,0
Bobby Hoffman,0,0,187,245,2.02,70,1.32,19,1.17,50,0,1.2,1,0
Roberto Traven,0,0,190,227,0.92,50,2.77,57,0.0,0,0,0.0,1,0
Homer Moore,0,0,177,205,0.68,50,0.68,0,5.07,66,0,0.0,1,0
Kevin Randleman,50,0,177,205,1.26,54,1.12,57,2.0,56,30,0.8,1,0
